epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,epoch_time_sec
1,0.7966600711567993,0.3279898713262254,0.76850994909764,0.7261132998264691,0.8897581830449803,0.7686684567567552,508.7834048271179
2,0.29829249153141224,0.12709823994621916,0.9228366496992133,0.892769523430141,0.9611976228167785,0.9207620881129319,165.3305368423462
3,0.1691022564540437,0.06562693705045339,0.9789449329014345,0.9513993457529155,0.9845806602098749,0.9669810431692014,167.67638969421387
4,0.10585854545328134,0.0599665676111296,0.9639634428505321,0.9148959891466988,0.9828255831161176,0.9465139919619895,167.35055017471313
5,0.11990696709371833,0.10503274373635167,0.956964368347987,0.8756413528732964,0.9629007794656446,0.9136478546650395,164.66783618927002
6,0.03776669073285958,0.011460453886669112,0.9947362332253586,0.9909122065438294,0.9969696115727456,0.9939107663173817,162.2378180027008
7,0.015130533278933185,0.005722458018678263,0.9980911614993059,0.9965592149864914,0.9988608929074795,0.9977058975195456,164.4083023071289
8,0.00931279616935909,0.004484928832493975,0.9986695974086072,0.9978557154522062,0.9989746247146278,0.9984142057043965,164.4013237953186
9,0.007425869575664192,0.002301118853051902,0.9993058769088385,0.9986325365339668,0.999394831759384,0.9990132779464176,166.87363028526306
10,0.005373945038684663,0.002503773600405262,0.9995950948634891,0.9991564915809141,0.9994157096072396,0.9992857634362093,165.8932764530182
