epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,epoch_time_sec
1,0.524279531123183,0.36522287537189946,0.8984266543267005,0.8483539807335413,0.8529195794501852,0.8474057186217545,331.99775075912476
2,0.12632314517428148,0.04710879685354627,0.9864067561314206,0.9692061259606244,0.9843037985333738,0.9766515039129404,305.4720027446747
3,0.06699979094507941,0.08983130670165103,0.9526260990282277,0.8891331587286023,0.9751790526435005,0.9224161298164677,305.6519491672516
4,0.05911496278608278,0.019249677060812813,0.991207774178621,0.9854477944550807,0.9949239657766932,0.9900681925022015,305.37186336517334
5,0.046998323499363115,0.04609422345407831,0.9822420175844516,0.972066896393423,0.9877702797725134,0.979631660036647,303.7516360282898
6,0.00403706816020691,0.004922201072763295,0.9991901897269783,0.9983404768222027,0.9991392498960635,0.998739254325145,305.07962465286255
7,0.0004896874359721412,0.0038202767569686692,0.9994215640906987,0.9990841322974842,0.9992138099915004,0.9991487011809601,306.3232960700989
8,0.0001788399834872051,0.003397409654976246,0.9995950948634891,0.9994400349829944,0.9993414732640924,0.999390303529099,304.49100613594055
9,7.769696656163697e-05,0.0029974899432416084,0.9997107820453494,0.9996202173800235,0.9993787533118108,0.999499167757009,306.34775042533875
10,3.3052269965444525e-05,0.0029754115372974993,0.9997107820453494,0.9996202173800235,0.9993787533118108,0.999499167757009,306.0006105899811
