epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,epoch_time_sec
1,1.1331207795641107,0.7537864914706105,0.7202683942619158,0.549210738520022,0.6764003845204177,0.5660031902917477,2645.7172725200653
2,0.5402065201233823,0.29248666060482503,0.8557380842202684,0.6776380514272401,0.9099973791174681,0.7600401654252849,2654.8343148231506
3,0.26770079867538366,0.1748074582850751,0.924109208699676,0.8434051894000274,0.9394469488067271,0.8849583866455022,2654.3236894607544
4,0.14915322826375751,0.1032730471834106,0.9357936140675613,0.8988961089536702,0.9663872325657126,0.9273076616430581,2659.587776184082
5,0.08696041286481675,0.06977428062766151,0.9734497917630727,0.9377802100424434,0.9727109729379044,0.9533251182350491,2659.5728754997253
6,0.013755006254449536,0.0188675786482843,0.9943891716797779,0.9880271559683065,0.9952847373278764,0.991628591764069,2653.0881378650665
7,0.0020980461874627924,0.02357146444961881,0.995835261453031,0.9917559971453438,0.9917643877310743,0.9917600555623407,2662.2943835258484
8,0.0009720041876898419,0.029633094632057887,0.9908607126330402,0.9787582208218691,0.9923928901360798,0.9854371177759313,2656.1608970165253
9,0.00202229791535003,0.02028154411064969,0.996298010180472,0.9926601115005295,0.9921254267430744,0.9923921912064401,2658.795790195465
10,0.0013521843281201443,0.017301648856052287,0.9959509486348913,0.9885388931134734,0.9956693303112807,0.9920651056085473,2664.9284818172455
