epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,epoch_time_sec
1,0.24455759219626097,0.020676950451164612,0.989819527996298,0.9843076093798782,0.9954456229605911,0.98969783385174,286.3032805919647
2,0.07102944875477925,0.03255147321239348,0.9857704766311892,0.9512910255292009,0.9897424413255915,0.9697557535449564,245.9364230632782
3,0.022601523234503314,0.14656087819045976,0.9272327626099028,0.848073336012329,0.9569317295853346,0.8954413192957524,244.99791741371155
4,0.022030855406978675,0.018126567788195075,0.9947940768162887,0.9711060195433794,0.9962560624065804,0.9833035802935555,245.0993549823761
5,0.028661500782056388,0.0013783735221569065,0.9997686256362796,0.9998550127020615,0.9997143568737978,0.9997846517141818,244.7344994544983
6,0.0012193419658379971,0.0008020705432173515,0.9998264692272096,0.9998736830532132,0.9998033565177993,0.9998385115184396,245.71841144561768
7,0.0006599700304159937,0.0003947970633413831,0.9998843128181397,0.9998923561618007,0.9998923561618007,0.9998923561618007,245.03813338279724
8,0.0004411957301365501,0.00043112664468928117,0.9998843128181397,0.9998923561618007,0.9998923561618007,0.9998923561618007,245.411128282547
9,0.00023800231216991708,0.00016792120613902002,1.0,1.0,1.0,1.0,245.05336260795593
10,0.0002784956727945163,0.00012558113631719277,1.0,1.0,1.0,1.0,245.710200548172
