epoch,train_loss,val_loss,accuracy,precision_macro,recall_macro,f1_macro,epoch_time_sec
1,0.7016222746412322,0.21711228575173047,0.8972697825080981,0.7500917047677177,0.930694754502367,0.8212068264911775,1102.9151179790497
2,0.19018646286275964,0.03467213873842396,0.9898773715872281,0.982225443102582,0.9923881321116053,0.9872240397470537,1089.6452856063843
3,0.08323499464116736,0.07225202697543415,0.9506594169366034,0.8990132708761434,0.9798498807829129,0.9349908414853857,1087.5569067001343
4,0.06319357969379996,0.1053623412113011,0.9332484960666358,0.8712406980898569,0.9628337117184081,0.9079060031426996,1086.649950504303
5,0.046212264065158284,0.01141826544919509,0.9940421101341971,0.9855948028919329,0.9975759929108323,0.9914820776629092,1088.6625871658325
6,0.0076730046496435445,0.0016973074468732354,0.9991901897269783,0.9981366870659694,0.9996669584464348,0.9989001931165348,1091.187097787857
7,0.002481861521781174,0.0010068904329431324,0.9995950948634891,0.9993396344793292,0.9997233249925581,0.999531377485837,1087.8487515449524
8,0.002104684671695036,0.001304514265539247,0.9989009717723276,0.9976085134571122,0.9996476783859961,0.9986250425794649,1091.2418172359467
9,0.0022035162962970646,0.0010402008510400128,0.999537251272559,0.9983635281074756,0.9997782179034886,0.9990685250010042,1091.0956149101257
10,0.002357021353321793,0.0003091115361469057,0.9997107820453494,0.99921364081207,0.9999072837857885,0.9995601165780863,1088.1519289016724
